date,closing_price,prev_price_diff,opening_price,high_price,low_price,volume
2023.05.04,"109,200",100,"109,000","110,000","108,000","435,298"
2023.05.03,"109,300",200,"109,100","109,400","107,900","371,989"
2023.05.02,"109,500",200,"109,300","109,800","108,700","443,845"
2023.04.28,"109,300","1,600","109,900","110,500","108,200","808,675"
2023.04.27,"107,700",700,"108,500","108,900","106,900","522,016"
2023.04.26,"108,400",500,"109,000","110,100","108,000","603,110"
2023.04.25,"108,900","1,500","107,700","109,900","106,300","1,051,431"
2023.04.24,"107,400",400,"107,200","108,500","107,200","561,213"
2023.04.21,"107,800","2,800","110,300","110,600","106,900","1,187,692"
2023.04.20,"110,600","2,300","112,600","113,300","109,300","877,927"
2023.04.19,"112,900","1,300","112,600","113,500","111,800","747,852"
2023.04.18,"111,600",600,"112,300","113,000","111,000","1,014,529"
2023.04.17,"112,200","3,000","115,100","115,100","111,700","1,014,716"
2023.04.14,"115,200",100,"116,100","116,900","114,600","795,003"
2023.04.13,"115,300",700,"116,000","117,500","113,500","1,275,287"
2023.04.12,"114,600","2,000","112,700","114,900","112,700","1,116,912"
2023.04.11,"112,600",400,"113,500","114,200","112,100","1,095,649"
2023.04.10,"113,000","1,300","115,000","115,900","112,600","1,018,183"
2023.04.07,"114,300",400,"115,500","116,100","113,800","921,786"
2023.04.06,"113,900","2,900","117,400","118,100","113,600","891,174"
2023.04.05,"116,800",900,"116,700","119,700","116,100","1,010,185"
2023.04.04,"115,900","2,100","114,300","117,200","112,800","896,834"
2023.04.03,"113,800","1,500","116,000","116,300","113,200","713,112"
2023.03.31,"115,300","2,200","114,100","115,700","113,800","855,187"
2023.03.30,"113,100",600,"114,500","115,600","113,100","570,965"
2023.03.29,"113,700","1,900","112,900","114,500","112,700","554,609"
2023.03.28,"111,800","1,700","113,000","113,100","109,000","1,263,322"
2023.03.27,"113,500",500,"113,000","114,500","111,000","778,173"
2023.03.24,"113,000","1,200","111,900","113,500","111,000","893,158"
2023.03.23,"111,800","2,400","113,700","114,700","110,300","1,324,425"
2023.03.22,"114,200",900,"115,500","116,500","113,600","756,170"
2023.03.21,"113,300",600,"114,500","114,700","112,400","712,657"
2023.03.20,"113,900","4,000","118,200","118,500","112,900","965,943"
2023.03.17,"117,900",400,"119,000","119,500","116,900","918,172"
2023.03.16,"117,500",100,"116,000","119,200","115,800","916,862"
2023.03.15,"117,400","5,600","114,600","117,800","113,200","1,133,693"
2023.03.14,"111,800","5,700","116,700","117,300","111,200","1,114,429"
2023.03.13,"117,500","1,800","116,000","118,500","113,600","851,620"
2023.03.10,"115,700","1,300","115,400","118,300","114,600","858,971"
2023.03.09,"117,000",500,"119,600","121,400","116,700","1,144,788"
2023.03.08,"117,500","3,100","116,200","120,600","116,200","1,731,900"
2023.03.07,"114,400",100,"114,400","115,400","112,200","748,490"
2023.03.06,"114,500","3,700","112,000","115,500","111,100","964,347"
2023.03.03,"110,800",600,"112,500","113,400","109,500","475,873"
2023.03.02,"111,400",200,"110,600","112,400","110,600","484,235"
2023.02.28,"111,200","1,500","113,400","113,400","110,500","666,842"
2023.02.27,"112,700",700,"112,800","114,100","111,400","556,263"
2023.02.24,"113,400","1,300","115,000","115,700","112,400","711,338"
2023.02.23,"114,700","3,600","112,400","117,000","112,300","1,414,208"
2023.02.22,"111,100","2,900","113,000","113,800","111,000","692,730"
2023.02.21,"114,000",700,"113,200","116,100","112,600","735,027"
2023.02.20,"113,300",600,"114,000","115,100","112,800","730,359"
2023.02.17,"113,900",100,"112,600","115,500","112,100","735,524"
2023.02.16,"114,000","1,200","114,000","116,400","113,200","1,080,764"
2023.02.15,"112,800",500,"113,600","114,200","112,400","1,108,858"
2023.02.14,"113,300","6,100","108,700","114,200","108,700","1,957,756"
2023.02.13,"107,200","3,400","110,000","110,000","105,500","907,871"
2023.02.10,"110,600","2,600","108,000","112,200","106,900","1,330,878"
2023.02.09,"108,000",400,"106,600","108,800","105,000","1,189,827"
2023.02.08,"107,600","5,600","102,500","108,800","102,200","1,809,917"
2023.02.07,"102,000",400,"101,800","103,000","101,300","568,693"
2023.02.06,"101,600",800,"100,900","102,900","100,000","663,779"
2023.02.03,"100,800",100,"101,300","102,100","100,200","493,356"
2023.02.02,"100,900","1,800","100,100","101,500","99,000","727,164"
2023.02.01,"99,100","1,000","100,100","100,100","98,100","738,213"
2023.01.31,"100,100",300,"99,900","103,200","99,200","1,140,938"
2023.01.30,"100,400","2,300","100,000","101,200","98,100","1,322,757"
2023.01.27,"98,100",200,"98,100","100,000","97,500","813,280"
2023.01.26,"97,900","1,300","96,400","97,900","95,800","496,024"
2023.01.25,"96,600",300,"97,200","97,800","96,200","403,888"
2023.01.20,"96,300",0,"96,200","96,700","95,000","391,157"
2023.01.19,"96,300","1,100","94,200","97,100","94,100","601,293"
2023.01.18,"95,200",500,"94,700","95,600","94,200","458,888"
2023.01.17,"94,700",300,"94,200","95,200","93,300","511,231"
2023.01.16,"94,400",200,"94,700","95,800","92,700","458,632"
2023.01.13,"94,200",500,"94,100","95,300","93,600","500,644"
2023.01.12,"93,700","1,100","95,000","95,500","93,100","487,521"
2023.01.11,"94,800",300,"95,300","95,800","93,800","454,625"
2023.01.10,"95,100",0,"94,900","95,300","93,600","583,121"
2023.01.09,"95,100","4,400","91,600","95,500","91,600","1,246,443"
2023.01.06,"90,700",800,"88,700","91,600","88,700","520,258"
2023.01.05,"89,900",200,"89,700","90,500","89,000","372,671"
2023.01.04,"89,700","4,000","84,900","89,700","84,500","582,484"
2023.01.03,"85,700",700,"86,400","87,000","83,500","535,289"
2023.01.02,"86,400",100,"87,200","87,600","86,300","256,377"
2022.12.29,"86,500","2,900","88,500","89,400","86,500","451,139"
2022.12.28,"89,400",300,"89,200","90,700","88,600","490,113"
2022.12.27,"89,700",800,"89,500","90,400","89,100","553,886"
2022.12.26,"88,900","2,000","90,900","91,000","88,700","466,302"
2022.12.23,"90,900",600,"88,500","92,200","88,200","946,249"
2022.12.22,"90,300","4,400","86,500","91,700","86,500","1,421,236"
2022.12.21,"85,900",200,"86,700","86,800","85,000","255,814"
2022.12.20,"86,100",800,"86,600","86,700","85,300","340,339"
2022.12.19,"86,900",300,"87,200","87,800","86,100","432,162"
2022.12.16,"87,200","1,500","87,000","87,900","85,800","625,891"
2022.12.15,"88,700","1,200","89,500","89,600","88,500","244,911"
2022.12.14,"89,900","1,800","88,800","90,100","88,500","471,240"
2022.12.13,"88,100","1,700","90,200","90,300","87,700","588,048"
2022.12.12,"89,800","1,200","89,800","91,300","89,500","431,521"
2022.12.09,"91,000","1,200","90,500","91,200","89,700","599,973"
2022.12.08,"89,800",500,"89,600","90,700","88,800","922,814"
2022.12.07,"90,300","6,900","95,000","95,500","89,500","1,994,747"
2022.12.06,"97,200",400,"95,900","100,500","95,500","1,145,457"
2022.12.05,"96,800",200,"97,200","97,700","95,900","462,365"
2022.12.02,"96,600",400,"96,400","98,500","95,400","809,770"
2022.12.01,"96,200","1,400","98,900","99,000","96,100","656,245"
2022.11.30,"97,600","3,800","92,900","98,300","92,600","1,734,591"
2022.11.29,"93,800",600,"93,400","94,000","91,300","623,921"
2022.11.28,"93,200","3,500","91,600","95,200","90,700","1,494,873"
2022.11.25,"89,700",800,"91,000","91,000","89,100","309,097"
2022.11.24,"90,500",300,"90,800","91,500","90,200","302,045"
2022.11.23,"90,200",700,"90,600","92,100","90,000","454,470"
2022.11.22,"89,500",600,"90,300","90,700","89,100","392,751"
2022.11.21,"90,100","1,900","92,500","92,500","89,300","659,130"
2022.11.18,"92,000",900,"93,100","94,600","91,000","864,219"
2022.11.17,"92,900","2,700","95,100","95,800","92,900","523,307"
2022.11.16,"95,600","1,000","96,900","96,900","94,700","589,204"
2022.11.15,"96,600","1,000","96,100","98,800","95,800","736,227"
2022.11.14,"95,600","1,100","94,700","96,900","94,500","888,814"
2022.11.11,"94,500","2,600","95,400","95,400","93,700","891,240"
2022.11.10,"91,900","1,300","92,200","94,000","91,900","803,724"
2022.11.09,"93,200","1,900","91,600","94,100","91,200","933,729"
2022.11.08,"91,300",400,"90,900","92,600","90,300","994,859"
2022.11.07,"90,900","2,300","89,200","91,200","87,400","1,584,070"
2022.11.04,"88,600","5,800","82,600","90,000","82,100","2,425,215"
2022.11.03,"82,800",900,"81,900","83,700","81,000","643,835"
2022.11.02,"83,700","1,100","81,700","84,000","81,500","740,355"
2022.11.01,"82,600","1,000","81,500","82,900","80,800","611,191"
2022.10.31,"81,600","1,700","82,000","82,000","80,500","713,095"
2022.10.28,"79,900",300,"79,800","81,200","79,600","641,547"
2022.10.27,"80,200","2,400","78,300","80,700","78,000","920,792"
2022.10.26,"77,800","2,300","80,100","80,200","77,300","1,247,943"
2022.10.25,"80,100",800,"80,900","81,900","79,700","552,564"
2022.10.24,"80,900",100,"81,700","82,300","80,400","611,218"
2022.10.21,"80,800",400,"80,700","81,500","80,100","347,557"
2022.10.20,"81,200",600,"80,300","81,400","78,800","594,436"
2022.10.19,"80,600","2,200","82,000","82,600","80,400","706,403"
2022.10.18,"82,800","1,100","83,100","83,300","81,300","594,072"
2022.10.17,"81,700","1,000","79,700","81,800","79,300","394,098"
2022.10.14,"80,700","2,600","80,000","81,500","79,700","462,737"
2022.10.13,"78,100","1,700","79,600","80,700","78,100","588,068"
2022.10.12,"79,800","1,600","78,400","80,000","77,800","594,177"
2022.10.11,"78,200","3,500","79,800","79,900","77,700","827,730"
2022.10.07,"81,700","1,100","79,800","82,300","79,700","676,353"
2022.10.06,"80,600","1,400","80,000","81,400","79,400","582,507"
2022.10.05,"79,200","1,500","82,200","82,400","78,600","696,257"
2022.10.04,"80,700","2,100","79,800","81,000","79,800","764,137"
2022.09.30,"78,600",600,"77,200","79,900","77,200","887,235"
2022.09.29,"78,000","1,300","80,500","80,700","77,900","788,884"
2022.09.28,"79,300","2,000","80,700","81,800","78,300","1,063,245"
2022.09.27,"81,300",500,"81,600","81,800","80,000","960,659"
2022.09.26,"81,800","3,100","83,500","84,400","81,600","981,155"
2022.09.23,"84,900",400,"85,300","86,600","84,400","725,235"
2022.09.22,"85,300","2,700","86,100","86,500","84,500","927,127"
2022.09.21,"88,000","1,700","90,000","90,100","87,600","669,889"
2022.09.20,"89,700",700,"91,000","91,400","89,400","540,462"
2022.09.19,"90,400",200,"90,200","91,700","90,200","455,443"
2022.09.16,"90,600","1,400","91,100","91,200","90,000","769,264"
2022.09.15,"92,000","2,000","94,600","94,600","92,000","672,520"
2022.09.14,"94,000","3,900","93,600","94,600","93,600","721,562"
2022.09.13,"97,900","4,100","95,700","98,200","95,100","703,205"
