date,closing_price,prev_price_diff,opening_price,high_price,low_price,volume,company_name
2023.05.03,"65,400",300,"65,100","65,600","64,900","8,777,418",삼성전자
2023.05.02,"65,700",200,"66,000","66,300","65,100","14,396,948",삼성전자
2023.04.28,"65,500",900,"65,200","65,900","65,000","19,699,481",삼성전자
2023.04.27,"64,600",500,"64,100","65,000","63,300","14,779,601",삼성전자
2023.04.26,"64,100",500,"63,600","64,300","63,300","12,664,541",삼성전자
2023.04.25,"63,600","1,600","65,300","65,400","63,400","16,193,271",삼성전자
2023.04.24,"65,200",500,"65,300","65,700","64,800","12,986,581",삼성전자
2023.04.21,"65,700",400,"65,800","65,900","65,400","10,538,622",삼성전자
2023.04.20,"65,300",200,"65,100","65,300","64,600","9,501,169",삼성전자
2023.04.19,"65,500",100,"65,500","65,800","65,300","10,255,985",삼성전자
2023.04.18,"65,600",300,"65,900","66,000","64,800","14,802,060",삼성전자
2023.04.17,"65,300",200,"65,000","65,600","64,700","13,486,618",삼성전자
2023.04.14,"65,100","1,000","66,600","66,600","65,000","16,176,490",삼성전자
2023.04.13,"66,100",100,"65,600","66,100","65,400","15,091,022",삼성전자
2023.04.12,"66,000",100,"65,800","66,200","65,300","15,021,313",삼성전자
2023.04.11,"65,900",200,"66,200","66,200","65,400","16,323,183",삼성전자
2023.04.10,"65,700",700,"64,800","66,300","64,700","18,777,166",삼성전자
2023.04.07,"65,000","2,700","63,800","65,200","63,800","27,476,120",삼성전자
2023.04.06,"62,300","1,600","63,500","63,600","62,300","14,992,747",삼성전자
2023.04.05,"63,900",300,"63,700","64,000","63,400","9,176,149",삼성전자
2023.04.04,"63,600",500,"63,400","63,800","62,800","11,120,514",삼성전자
2023.04.03,"63,100",900,"64,000","64,000","63,000","11,973,133",삼성전자
2023.03.31,"64,000",800,"64,000","64,000","63,700","14,094,479",삼성전자
2023.03.30,"63,200",500,"63,700","63,700","63,100","15,684,377",삼성전자
2023.03.29,"62,700",200,"62,500","62,700","62,200","11,216,008",삼성전자
2023.03.28,"62,900",800,"62,400","62,900","62,100","11,614,118",삼성전자
2023.03.27,"62,100",900,"62,600","62,800","62,000","11,039,331",삼성전자
2023.03.24,"63,000",700,"62,700","63,300","62,300","18,278,602",삼성전자
2023.03.23,"62,300","1,200","60,600","62,300","60,600","15,381,057",삼성전자
2023.03.22,"61,100",800,"61,000","61,200","60,500","8,978,591",삼성전자
2023.03.21,"60,300",100,"60,500","60,700","60,100","8,318,514",삼성전자
2023.03.20,"60,200","1,100","61,100","61,200","60,200","9,618,009",삼성전자
2023.03.17,"61,300","1,400","60,800","61,300","60,600","14,090,110",삼성전자
2023.03.16,"59,900",100,"59,200","60,200","59,100","10,611,939",삼성전자
2023.03.15,"59,800",800,"60,000","60,300","59,600","10,482,149",삼성전자
2023.03.14,"59,000","1,000","59,400","59,500","59,000","12,147,346",삼성전자
2023.03.13,"60,000",500,"59,900","60,200","59,300","12,779,724",삼성전자
2023.03.10,"59,500",600,"59,500","59,700","59,100","11,902,471",삼성전자
2023.03.09,"60,100",200,"60,500","60,800","59,900","14,334,499",삼성전자
2023.03.08,"60,300",400,"60,100","60,500","59,900","14,161,857",삼성전자
2023.03.07,"60,700",800,"61,400","61,400","60,700","11,473,280",삼성전자
2023.03.06,"61,500","1,000","61,100","61,600","60,800","13,630,602",삼성전자
2023.03.03,"60,500",300,"61,000","61,200","60,500","10,711,405",삼성전자
2023.03.02,"60,800",200,"60,900","61,800","60,500","13,095,682",삼성전자
2023.02.28,"60,600",100,"60,800","61,400","60,500","13,715,861",삼성전자
2023.02.27,"60,500",800,"60,800","60,800","60,200","11,155,697",삼성전자
2023.02.24,"61,300",700,"62,300","62,600","61,300","10,308,143",삼성전자
2023.02.23,"62,000",900,"61,700","62,500","61,500","13,047,099",삼성전자
2023.02.22,"61,100","1,000","61,500","61,800","61,000","11,959,088",삼성전자
2023.02.21,"62,100",600,"62,700","62,800","62,000","7,665,046",삼성전자
2023.02.20,"62,700",100,"62,900","63,000","61,800","12,908,073",삼성전자
2023.02.17,"62,600","1,100","62,900","63,300","62,400","10,791,265",삼성전자
2023.02.16,"63,700","1,500","62,500","63,700","62,400","13,798,831",삼성전자
2023.02.15,"62,200","1,000","63,900","63,900","62,000","13,208,103",삼성전자
2023.02.14,"63,200",300,"63,600","63,900","63,200","9,126,664",삼성전자
2023.02.13,"62,900",100,"62,900","63,000","62,300","10,730,362",삼성전자
2023.02.10,"62,800",200,"62,600","63,000","62,400","9,382,576",삼성전자
2023.02.09,"63,000",100,"63,000","63,300","62,300","12,164,865",삼성전자
2023.02.08,"63,100","1,200","62,800","63,300","62,400","12,243,125",삼성전자
2023.02.07,"61,900",300,"61,900","62,500","61,600","14,491,039",삼성전자
2023.02.06,"61,600","2,200","62,800","63,000","61,600","15,529,356",삼성전자
2023.02.03,"63,800",300,"63,900","64,000","63,000","15,194,598",삼성전자
2023.02.02,"63,500","1,700","63,200","63,900","62,600","23,285,983",삼성전자
2023.02.01,"61,800",800,"62,600","62,700","61,000","18,570,133",삼성전자
2023.01.31,"61,000","2,300","63,500","63,700","61,000","29,746,731",삼성전자
